# Données du premier détecteur
# Index,temps(ms), tension(mV), temps mort cumulatif (ms), température
1,2066.745,69,123,19
2,2304.573,54,113,19
3,3387.593,32,114,16
4,3955.573,17,121,16
5,6444.343,23,115,17
6,6526.839,26,127,17
7,8561.013,46,120,19
8,9534.581,40,117,18
9,11488.722,46,119,19
10,12645.019,17,123,17
11,13870.818,18,122,17
12,14930.878,17,121,17
13,16930.620,15,120,18
14,17186.195,39,124,16
15,18914.116,246,121,19
16,21318.131,28,120,18
17,22179.232,66,123,19
18,23208.191,51,120,19
19,24586.138,30,119,19
20,25511.458,46,119,19
21,26418.266,66,122,17
22,27159.331,15,120,17
23,27986.820,97,124,19
24,28263.596,41,123,17
25,28711.917,71,120,19
26,30548.956,47,118,19
27,31323.946,18,122,17
28,32255.643,58,117,19
29,33538.835,32,116,19
30,36074.926,21,119,18
31,36975.014,58,119,16
32,38778.631,57,118,18
33,39677.355,91,118,18
34,40345.433,42,122,18
35,41352.101,45,117,18
36,45922.161,34,121,19
37,46569.594,23,120,18
38,48166.600,21,122,18
39,50916.734,88,119,16
40,51848.542,21,121,18
41,54338.892,61,125,19
42,55897.931,17,119,17
43,56299.149,23,120,18
44,56361.979,18,120,16
45,61296.350,117,123,19
46,62525.707,33,119,17
47,62942.173,21,120,17
48,64007.893,26,126,19
49,64330.995,61,118,19
50,65049.308,43,121,19
51,65176.902,47,118,19
52,65585.857,30,122,17
53,68679.613,50,117,17
54,69194.655,27,128,18
55,69546.593,53,122,19
56,70201.057,16,117,19
57,72269.197,61,117,19
58,72862.717,47,120,19
59,75829.478,28,117,16
60,78429.723,39,120,19
61,80609.365,19,121,17
62,80814.688,26,124,17
63,82169.608,76,120,19
64,82495.073,115,120,19
65,82613.664,27,124,17
66,82847.327,87,120,19
67,84976.871,53,120,19
68,85193.983,25,120,16
69,86786.008,160,122,17
70,93959.895,16,123,18
71,94047.209,28,124,18
72,97623.919,20,122,17
73,98959.646,15,123,17
74,99077.279,226,126,19
75,100386.639,73,123,17
76,100969.519,26,125,19
77,101658.793,27,121,17
78,102599.148,24,123,17
79,103216.520,32,120,18
80,105072.842,43,121,19
81,106584.096,109,122,19
82,107035.288,20,119,18
83,108116.929,20,122,18
