# Données du deuxième détecteur
# Index,temps(ms), tension(mV), temps mort cumulatif (ms), température
1,2066.749,68,119,19
2,2304.576,52,129,19
3,4139.264,27,123,17
4,6527.789,30,121,17
5,8432.745,41,124,17
6,8561.017,41,124,19
7,9142.378,25,120,16
8,9690.626,17,125,18
9,11488.726,41,120,19
10,11674.473,31,120,17
11,11858.920,27,119,17
12,12259.898,22,126,17
13,15353.500,26,120,18
14,15645.702,18,122,16
15,15822.711,33,120,16
16,17014.749,26,124,18
17,18102.023,36,124,18
18,18914.120,242,124,19
19,22179.231,63,117,19
20,23208.188,55,123,19
21,25511.461,48,118,19
22,25601.504,20,120,17
23,27690.299,41,118,18
24,27986.820,99,119,19
25,28711.919,66,122,19
26,30548.961,42,123,19
27,32255.646,59,121,19
28,33538.843,28,118,19
29,36117.301,40,132,18
30,36232.509,12,124,18
31,37696.535,26,127,17
32,38629.721,16,127,17
33,38778.631,56,124,18
34,38822.294,15,117,18
35,39677.353,90,123,18
36,40345.436,46,121,18
37,41081.891,41,123,17
38,41352.101,46,122,18
39,41372.699,25,123,16
40,41543.489,23,115,18
41,41865.285,57,116,18
42,42345.245,15,124,17
43,44424.813,13,123,18
44,44942.536,67,123,17
45,45922.165,35,121,19
46,47086.075,40,120,17
47,48859.701,23,128,19
48,49565.425,18,122,17
49,51869.785,35,131,18
50,53441.496,23,121,17
51,54338.893,60,124,19
52,54933.926,12,117,16
53,56761.940,46,124,17
54,58563.921,39,119,17
55,60066.541,28,118,17
56,60263.458,30,111,16
57,60854.983,25,122,17
58,61296.351,120,122,19
59,61952.592,123,114,16
60,62718.957,35,125,17
61,63802.739,10,123,17
62,63977.406,101,128,18
63,64007.897,23,121,19
64,64330.998,63,124,19
65,65049.306,47,127,19
66,65176.902,51,124,19
67,67261.017,31,122,16
68,69546.592,51,118,19
69,70590.935,25,122,18
70,71831.005,21,120,18
71,71927.936,21,125,17
72,72269.201,64,128,19
73,72862.716,45,123,19
74,75330.488,21,128,17
75,77632.190,53,125,17
76,77855.720,22,120,17
77,78429.721,40,125,19
78,81534.396,22,114,18
79,82169.607,78,118,19
80,82495.073,117,122,19
81,82847.324,90,118,19
82,84660.068,30,125,17
83,84976.871,57,131,19
84,92187.520,43,128,18
85,93324.042,21,117,17
86,95394.605,23,117,18
87,98562.335,25,122,19
88,99077.280,228,126,19
89,99694.889,19,123,17
90,99836.048,19,122,16
91,101054.144,17,125,18
92,101108.123,24,119,18
93,101930.052,13,125,17
94,102803.751,18,116,18
95,104293.054,33,122,18
96,105072.840,45,121,19
97,106584.095,107,121,19
98,108346.766,31,128,16
99,111073.429,34,125,17
100,113189.090,75,120,19
101,117758.062,98,122,19
102,119426.147,45,118,18
103,122072.777,32,121,17
104,122901.563,54,123,19
105,124158.084,74,128,19
106,128886.717,116,124,19
107,130182.413,20,120,19
108,131889.119,14,122,18
109,132809.793,52,120,19
110,134318.187,37,117,19
111,135382.487,42,122,19
112,139081.303,60,116,19
113,141281.335,97,122,19
114,141477.355,102,116,19
115,142127.054,89,125,19
116,142220.859,19,120,19
117,143185.643,65,125,19
118,145117.577,90,122,19
119,145325.180,25,122,16
120,145918.402,18,123,17
121,147049.273,15,126,19
122,148452.621,18,119,18
123,149032.817,81,127,19
124,150190.852,64,123,19
125,151381.656,18,127,17
126,151526.463,179,121,18
127,151610.222,33,123,16
128,151752.195,57,121,19
129,152147.943,105,120,19
130,153055.512,94,112,19
131,158201.761,340,119,17
132,159126.040,125,131,19
133,160794.807,59,121,19
134,161713.266,55,122,19
135,162048.266,70,116,19
136,163277.334,73,121,19
137,163746.220,39,126,19
138,166080.939,18,121,18
139,166533.796,83,123,19
140,167008.551,54,123,19
141,169550.572,36,124,17
142,170116.758,19,126,19
143,171062.282,68,122,19
144,171121.547,15,116,17
145,172290.686,97,129,19
146,173618.987,48,127,19
147,175418.473,15,120,16
148,175787.085,14,127,16
149,177857.843,49,119,19
150,178400.996,20,117,17
151,178926.279,18,121,18
152,179457.055,16,121,17
153,180985.105,49,125,19
154,181784.019,26,121,17
155,181887.485,15,129,19
156,182793.191,61,118,19
157,185354.038,22,121,17
158,185686.586,52,113,18
159,188503.885,25,116,17
160,189617.131,27,120,18
161,190039.658,104,122,16
162,190241.988,15,123,18
163,191775.467,33,125,17
