Classes A, Dist. A, Classes B, Dist. B, Classes C, Dist.C
0,8,150,15,0,0
15,34,154,9,7,0
30,63,159,14,15,2
45,131,163,10,22,7
60,165,168,10,30,26
75,249,172,15,37,54
90,265,177,16,45,102
105,285,181,27,52,150
120,344,186,29,60,232
135,360,190,27,67,307
150,382,195,34,75,346
165,429,199,38,82,397
180,433,204,48,90,417
195,402,208,38,97,428
210,383,213,50,105,446
225,381,217,53,112,456
240,406,222,42,120,442
255,376,226,47,127,428
270,314,231,72,135,408
285,339,235,75,142,402
300,315,240,96,150,355
315,335,244,97,157,355
330,287,249,94,165,361
345,277,253,112,172,322
360,260,258,125,180,335
375,257,262,134,187,311
390,212,267,145,195,251
405,212,271,142,202,248
420,199,276,145,210,196
435,161,280,142,217,199
450,168,285,178,225,188
465,163,289,178,232,155
480,122,294,171,240,151
495,127,298,183,247,152
510,108,303,200,255,119
525,97,307,196,262,119
540,90,312,204,270,89
555,84,316,223,277,82
570,83,321,230,285,84
585,74,325,245,292,89
600,63,330,228,300,63
615,55,334,225,307,74
630,52,339,236,315,56
645,59,343,267,322,58
660,42,348,236,330,48
675,29,352,227,337,45
690,26,357,238,345,42
705,24,361,256,352,35
720,20,366,227,360,31
735,22,370,243,367,19
750,27,375,221,375,27
765,29,379,203,382,22
780,13,384,225,390,28
795,13,388,218,397,19
810,15,393,217,405,17
825,22,397,178,412,11
840,7,402,177,420,16
855,16,406,195,427,11
870,10,411,155,435,11
885,11,415,164,442,17
900,10,420,156,450,7
915,6,424,149,457,4
930,8,429,119,465,12
945,2,433,123,472,6
960,6,438,130,480,10
975,6,442,118,487,4
990,2,447,94,495,13
1005,4,451,90,502,9
1020,1,456,83,510,6
1035,2,460,67,517,7
1050,4,465,76,525,6
1065,2,469,50,532,5
1080,2,474,63,540,4
1095,0,478,57,547,1
1110,0,483,43,555,2
1125,1,487,34,562,3
1140,1,492,38,570,4
1155,0,496,25,577,5
1170,1,501,28,585,2
1185,2,505,23,592,2
1200,0,510,25,600,0
1215,1,514,25,607,2
1230,0,519,12,615,2
1245,0,523,9,622,2
1260,2,528,15,630,0
1275,0,532,3,637,1
1290,0,537,12,645,1
1305,0,541,16,652,1
1320,0,546,6,660,2
1335,1,550,2,667,3
1350,0,555,7,675,0
1365,1,559,4,682,1
1380,0,564,5,690,1
1395,0,568,2,697,2
1410,0,573,0,705,0
1425,0,577,3,712,1
1440,0,582,1,720,3
1455,0,586,1,727,0
1470,0,591,2,735,0
1485,0,595,2,742,1
